长城,GreatWall 
玛歌雷特,LAMAUGELLERIE
唯乐,
蒙佩奇古堡,Chateau Mont Perat
紫轩,
百特,beleden
升禧,
狮堡,LION BOURG
圣骑庄园,
巴图,
奥玛,ALMA
金罐,
佰铄,
花思蝶,Frescobaldi
梦陇,MONLOT
柯诺威庄园,CORNOWAYFINCA
贝灵哲酒园,
拿戈卢,LA GLOIRE
列吉塞,Ridgeside Winery
云端,
莱恩格瑞,
玫瑰酒庄（无）,
魔芳,PLATINO
VICENTE GANDIA,
胜德堡,
木桐古堡,CH. MOUTON ROTHSCHILD
火地岛,
十字木桐,
蓝海之鲸,MR.SPARKLING
酒司令,TAMADA
TAMAYA,
伊村山野,
BERTON VINEYARD,
 姚明,YAOMING
希雅斯酒庄,XIYASIWINERY
紫桐,
拉图雷蒙城堡,La Figure Ramon Castle
狄士美庄园,Chateau Desmirail
龙徽,
法兰骑士,FlangKnight
高斯达,
葡乐,taller wine
盛纳,SHENGNA
双掌,
爱慕尔,
荆凃,
佳得美庄园,Chateau Cantemerle
梦诺,
榭斐堡,
雄狮酒庄,Chateau Leoville-Las Cases
卓林,ZONIN
伊拉苏,
嘉伦多,
法拉圣宝,
优尼特,Riunite
维拉美伽,Vila Megal
奔富蔻兰山,KOONUNGA HILL
纳丹堡,nathenfort
名仕爱菲尔,AFEIR
爱嗨,Iheart
艾维娜,INVINA
桌山,KAAPZICHT
依拉苏,Errazuriz
开普山,CAPE MOUNTAIN
BUDUREASCA,
SUNSHINECREEK,
波图,POTO
琴韵,MelodieDe L'Accordeon
荣耀波尔图,ROYAL OPORTO
博纳旺蒂,BONAVENTURE
德森森,Dr.Zenzen
菲特瓦,
歌思维亚,Gesivlia
博纳旺蒂,BONAVENTURE
汉森,HANSEN
